,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK,xG/90,xAG/90,xG+xAG,npxG/90,npxG+xAG/90,MP_H,W_H,D_H,L_H,GF_H,GA_H,GD_H,Pts_H,Pts/MP_H,xG_H,xGA_H,xGD_H,xGD/90_H,MP_A,W_A,D_A,L_A,GF_A,GA_A,GD_A,Pts_A,Pts/MP_A,xG_A,xGA_A,xGD_A,xGD/90_A,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,year,country,league
0,Arg Juniors,26,26.4,60.8,27,297,2430,27,30,18,48,25,5,6,64,6,39.3,34.8,26.1,60.9,455,1338,1.11,0.67,1.78,0.93,1.59,1.46,0.97,2.42,1.29,2.26,13,12,0,1,26,7,19,36,2.77,27.3,8.0,19.3,1.48,14,7,4,3,24,13,11,25,1.79,19.7,13.9,5.8,0.42,381,115,30.2,14.11,4.26,0.07,0.22,17.1,14,2023,argentina,liga_argentina
1,Arsenal,27,25.4,46.1,27,297,2430,27,16,14,30,14,2,3,68,3,23.0,20.7,17.0,37.7,342,878,0.59,0.52,1.11,0.52,1.04,0.85,0.63,1.48,0.77,1.4,14,7,4,3,18,10,8,25,1.79,19.6,12.7,6.8,0.49,13,7,4,2,24,13,11,25,1.92,23.7,14.7,8.9,0.69,256,75,29.3,9.48,2.78,0.05,0.19,19.4,16,2023,argentina,liga_argentina
2,Atlé Tucumán,26,26.9,46.9,27,297,2430,27,24,17,41,21,3,3,70,4,27.1,24.7,19.5,44.2,322,893,0.89,0.63,1.52,0.78,1.41,1.0,0.72,1.73,0.92,1.64,14,8,5,1,12,2,10,29,2.07,16.1,6.8,9.3,0.67,13,4,5,4,11,11,0,17,1.31,11.3,14.0,-2.7,-0.21,328,92,28.0,12.15,3.41,0.06,0.23,20.9,18,2023,argentina,liga_argentina
3,Banfield,28,27.1,44.7,27,297,2430,27,18,10,28,14,4,6,73,6,29.4,24.6,18.4,43.0,329,743,0.67,0.37,1.04,0.52,0.89,1.09,0.68,1.77,0.91,1.59,13,9,2,2,20,9,11,29,2.23,20.6,11.7,8.9,0.68,14,3,7,4,18,18,0,16,1.14,16.1,16.2,-0.1,-0.01,306,79,25.8,11.33,2.93,0.05,0.18,19.4,14,2023,argentina,liga_argentina
4,Barracas Central,30,26.1,49.3,27,297,2430,27,25,15,40,21,4,4,44,3,22.5,19.4,14.4,33.7,333,884,0.93,0.56,1.48,0.78,1.33,0.83,0.53,1.37,0.72,1.25,14,7,5,2,22,10,12,26,1.86,18.0,9.8,8.2,0.58,13,5,4,4,13,14,-1,19,1.46,15.3,13.8,1.5,0.11,270,82,30.4,10.0,3.04,0.08,0.26,20.8,20,2023,argentina,liga_argentina
5,Belgrano,32,28.3,48.4,27,297,2430,27,20,15,35,18,2,2,50,6,24.6,23.0,18.0,41.1,393,975,0.74,0.56,1.3,0.67,1.22,0.91,0.67,1.58,0.85,1.52,14,7,5,2,21,11,10,26,1.86,18.1,15.2,2.9,0.21,13,5,3,5,15,12,3,18,1.38,17.9,17.1,0.7,0.06,282,93,33.0,10.44,3.44,0.06,0.19,19.2,9,2023,argentina,liga_argentina
6,Boca Juniors,32,27.7,59.2,27,297,2430,27,32,25,57,32,0,0,73,9,30.7,30.7,23.4,54.0,478,1100,1.19,0.93,2.11,1.19,2.11,1.14,0.87,2.0,1.14,2.0,14,8,3,3,19,10,9,27,1.93,20.4,12.1,8.3,0.59,13,5,2,6,14,14,0,17,1.31,10.3,17.2,-6.9,-0.53,315,99,31.4,11.67,3.67,0.1,0.32,19.4,25,2023,argentina,liga_argentina
7,Cen. Córdoba–SdE,26,28.8,43.8,27,297,2430,27,20,15,35,19,1,2,51,1,25.1,23.6,19.3,42.9,345,855,0.74,0.56,1.3,0.7,1.26,0.93,0.72,1.65,0.87,1.59,14,9,5,0,27,11,16,32,2.29,22.3,15.4,6.8,0.49,13,1,7,5,9,18,-9,10,0.77,10.6,18.1,-7.5,-0.58,315,91,28.9,11.67,3.37,0.06,0.21,20.1,10,2023,argentina,liga_argentina
8,Colón,28,27.1,47.0,27,297,2430,27,19,16,35,19,0,4,66,3,25.6,22.4,17.0,39.5,358,829,0.7,0.59,1.3,0.7,1.3,0.95,0.63,1.58,0.83,1.46,13,8,4,1,27,13,14,28,2.15,19.0,16.3,2.7,0.21,14,3,4,7,10,19,-9,13,0.93,12.1,18.4,-6.3,-0.45,283,92,32.5,10.48,3.41,0.07,0.21,19.5,11,2023,argentina,liga_argentina
9,Defensa y Just,34,26.3,50.1,27,297,2430,27,35,23,58,31,4,4,70,6,36.0,32.9,27.1,60.0,478,1066,1.3,0.85,2.15,1.15,2.0,1.33,1.0,2.34,1.22,2.22,13,7,3,3,24,13,11,24,1.85,24.8,12.4,12.4,0.96,14,4,4,6,7,9,-2,16,1.14,14.5,13.5,1.0,0.07,353,120,34.0,13.07,4.44,0.09,0.26,20.1,12,2023,argentina,liga_argentina
10,Estudiantes,29,28.8,53.2,27,297,2430,27,35,26,61,35,0,2,56,0,33.3,31.6,26.0,57.6,397,1171,1.3,0.96,2.26,1.3,2.26,1.23,0.96,2.2,1.17,2.13,13,6,4,3,15,13,2,22,1.69,14.7,13.3,1.4,0.11,14,3,6,5,10,14,-4,15,1.07,12.4,19.7,-7.4,-0.53,381,117,30.7,14.11,4.33,0.09,0.3,18.8,10,2023,argentina,liga_argentina
11,Gimnasia–LP,35,24.2,47.4,27,297,2430,27,24,13,37,23,1,2,61,3,28.3,26.7,17.5,44.3,338,872,0.89,0.48,1.37,0.85,1.33,1.05,0.65,1.7,0.99,1.64,14,6,5,3,20,17,3,23,1.64,16.9,19.0,-2.1,-0.15,13,3,4,6,16,18,-2,13,1.0,13.5,16.0,-2.5,-0.19,349,100,28.7,12.93,3.7,0.07,0.23,20.3,14,2023,argentina,liga_argentina
12,Godoy Cruz,28,26.0,48.4,27,297,2430,27,35,23,58,32,3,3,72,5,31.1,28.9,23.7,52.6,352,925,1.3,0.85,2.15,1.19,2.04,1.15,0.88,2.03,1.07,1.95,13,6,4,3,12,8,4,22,1.69,10.6,13.0,-2.4,-0.18,14,4,2,8,8,18,-10,14,1.0,14.0,18.8,-4.8,-0.34,356,111,31.2,13.19,4.11,0.09,0.29,21.4,16,2023,argentina,liga_argentina
13,Huracán,30,26.8,50.0,27,297,2430,27,18,11,29,15,3,4,64,7,25.6,22.3,16.3,38.7,422,992,0.67,0.41,1.07,0.56,0.96,0.95,0.61,1.55,0.83,1.43,13,6,6,1,13,5,8,24,1.85,15.5,8.6,6.9,0.53,14,2,5,7,11,19,-8,11,0.79,9.8,17.9,-8.1,-0.58,299,87,29.1,11.07,3.22,0.05,0.17,18.0,16,2023,argentina,liga_argentina
14,Independiente,30,26.9,47.5,27,297,2430,27,21,9,30,14,7,8,75,8,29.8,23.6,17.0,40.6,379,870,0.78,0.33,1.11,0.52,0.85,1.11,0.63,1.73,0.87,1.5,14,5,6,3,12,11,1,21,1.5,11.9,14.2,-2.3,-0.16,13,3,5,5,13,19,-6,14,1.08,10.6,14.3,-3.7,-0.29,291,75,25.8,10.78,2.78,0.05,0.19,19.6,13,2023,argentina,liga_argentina
15,Instituto,27,28.1,49.6,27,297,2430,27,24,18,42,22,2,2,68,3,33.1,31.6,22.4,54.0,388,986,0.89,0.67,1.56,0.81,1.48,1.23,0.83,2.06,1.17,2.0,13,5,3,5,14,14,0,18,1.38,18.1,15.7,2.4,0.18,14,4,4,6,13,15,-2,16,1.14,16.3,14.4,1.8,0.13,328,93,28.4,12.15,3.44,0.07,0.24,19.5,11,2023,argentina,liga_argentina
16,Lanús,30,26.9,47.1,27,297,2430,27,37,23,60,31,6,8,74,9,36.7,30.4,24.6,55.0,349,900,1.37,0.85,2.22,1.15,2.0,1.36,0.91,2.27,1.13,2.04,14,6,4,4,15,12,3,22,1.57,12.1,15.7,-3.6,-0.26,13,3,3,7,11,17,-6,12,0.92,9.9,16.8,-6.9,-0.53,335,101,30.1,12.41,3.74,0.09,0.31,19.3,10,2023,argentina,liga_argentina
17,Newell's OB,32,26.1,58.2,27,297,2430,27,24,16,40,22,2,3,65,6,25.3,22.9,18.3,41.2,466,1125,0.89,0.59,1.48,0.81,1.41,0.94,0.68,1.61,0.85,1.53,14,5,6,3,11,11,0,21,1.5,19.0,10.5,8.5,0.6,13,3,2,8,13,24,-11,11,0.85,14.2,18.8,-4.6,-0.35,287,106,36.9,10.63,3.93,0.08,0.21,20.9,14,2023,argentina,liga_argentina
18,Platense,28,26.6,44.6,27,297,2430,27,26,16,42,23,3,3,68,2,21.9,19.6,13.5,33.2,361,865,0.96,0.59,1.56,0.85,1.44,0.81,0.5,1.31,0.73,1.23,13,4,5,4,16,13,3,17,1.31,16.1,16.2,-0.1,-0.01,14,3,4,7,7,13,-6,13,0.93,10.4,18.0,-7.6,-0.54,294,91,31.0,10.89,3.37,0.08,0.25,21.0,10,2023,argentina,liga_argentina
19,Racing Club,36,28.3,59.3,27,297,2430,27,36,24,60,32,4,5,69,5,30.4,26.4,21.6,48.1,391,1201,1.33,0.89,2.22,1.19,2.07,1.12,0.8,1.93,0.98,1.78,13,4,5,4,12,12,0,17,1.31,12.5,11.2,1.2,0.09,14,2,7,5,7,13,-6,13,0.93,9.9,17.6,-7.8,-0.55,320,110,34.4,11.85,4.07,0.1,0.29,21.1,37,2023,argentina,liga_argentina
