Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK,xG/90,xAG/90,xG+xAG,npxG/90,npxG+xAG/90,Year,Team,league,country
Agustín Rossi,ar,GK,26.0,24,24,2160,24.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,Boca Juniors,liga_argentina,argentina
Frank Fabra,co,DF,30.0,22,22,1915,21.3,1,4,5,1,0,0,10,0,1.0,1.0,2.3,3.4,57,129,102,0.05,0.19,0.23,0.05,0.23,0.05,0.11,0.16,0.05,0.16,2022,Boca Juniors,liga_argentina,argentina
Guillermo Matías Fernández,ar,MF,30.0,24,22,1825,20.3,3,1,4,3,0,1,10,0,3.1,2.3,1.6,3.9,28,88,45,0.15,0.05,0.2,0.15,0.2,0.15,0.08,0.23,0.11,0.19,2022,Boca Juniors,liga_argentina,argentina
Alan Varela,ar,MF,20.0,22,21,1844,20.5,0,1,1,0,0,0,6,0,0.3,0.3,0.9,1.2,7,87,8,0.0,0.05,0.05,0.0,0.05,0.01,0.05,0.06,0.01,0.06,2022,Boca Juniors,liga_argentina,argentina
Luis Advíncula,pe,DF,31.0,20,20,1800,20.0,0,0,0,0,0,0,8,0,0.2,0.2,0.7,0.8,25,76,47,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04,2022,Boca Juniors,liga_argentina,argentina
Óscar Romero,py,MF,29.0,22,17,1466,16.3,2,3,5,2,0,0,3,0,2.5,2.5,2.9,5.4,40,126,86,0.12,0.18,0.31,0.12,0.31,0.15,0.18,0.33,0.15,0.33,2022,Boca Juniors,liga_argentina,argentina
Carlos Zambrano,pe,DF,32.0,18,16,1430,15.9,0,0,0,0,0,0,9,0,0.2,0.2,0.0,0.2,9,36,1,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,2022,Boca Juniors,liga_argentina,argentina
Darío Benedetto,ar,FW,31.0,17,14,1076,12.0,5,1,6,5,0,1,4,0,4.4,3.6,1.1,4.8,7,23,62,0.42,0.08,0.5,0.42,0.5,0.37,0.09,0.46,0.3,0.4,2022,Boca Juniors,liga_argentina,argentina
Juan Ramírez,ar,MF,28.0,21,14,1049,11.7,0,1,1,0,0,0,3,0,1.1,1.1,0.5,1.6,36,64,50,0.0,0.09,0.09,0.0,0.09,0.09,0.04,0.14,0.09,0.14,2022,Boca Juniors,liga_argentina,argentina
Sebastián Villa,co,FW,25.0,18,13,1268,14.1,4,7,11,4,0,0,1,0,2.3,2.3,3.7,6.0,81,56,187,0.28,0.5,0.78,0.28,0.78,0.16,0.26,0.42,0.16,0.42,2022,Boca Juniors,liga_argentina,argentina
Luis Vázquez,ar,FW,21.0,25,13,1237,13.7,1,2,3,1,0,0,4,1,1.8,1.8,0.9,2.6,12,17,65,0.07,0.15,0.22,0.07,0.22,0.13,0.06,0.19,0.13,0.19,2022,Boca Juniors,liga_argentina,argentina
Luca Langoni,ar,FW,19.0,18,11,949,10.5,6,1,7,6,0,0,2,0,1.9,1.9,1.3,3.2,18,11,77,0.57,0.09,0.66,0.57,0.66,0.18,0.12,0.3,0.18,0.3,2022,Boca Juniors,liga_argentina,argentina
Marcos Rojo,ar,DF,31.0,11,11,898,10.0,3,0,3,2,1,2,5,1,2.6,1.1,0.0,1.1,2,32,0,0.3,0.0,0.3,0.2,0.2,0.27,0.0,0.27,0.11,0.11,2022,Boca Juniors,liga_argentina,argentina
Jorge Figal,ar,DF,27.0,12,10,874,9.7,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.1,5,26,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,2022,Boca Juniors,liga_argentina,argentina
Facundo Roncaglia,ar,DF,34.0,11,8,781,8.7,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.4,0,20,0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,2022,Boca Juniors,liga_argentina,argentina
Martín Payero,ar,MF,23.0,14,8,678,7.5,1,0,1,1,0,0,2,0,1.0,1.0,0.8,1.8,17,24,39,0.13,0.0,0.13,0.13,0.13,0.13,0.1,0.23,0.13,0.23,2022,Boca Juniors,liga_argentina,argentina
Cristian Medina,ar,MF,19.0,18,7,752,8.4,0,0,0,0,0,0,2,0,0.2,0.2,0.4,0.6,18,25,35,0.0,0.0,0.0,0.0,0.0,0.03,0.05,0.07,0.03,0.07,2022,Boca Juniors,liga_argentina,argentina
Agustín Sández,ar,DF,21.0,8,6,605,6.7,1,0,1,1,0,0,4,0,0.4,0.4,0.2,0.6,7,28,28,0.15,0.0,0.15,0.15,0.15,0.06,0.02,0.08,0.06,0.08,2022,Boca Juniors,liga_argentina,argentina
Marcelo Weigandt,ar,DF,22.0,8,6,568,6.3,0,0,0,0,0,0,1,0,0.7,0.7,0.2,0.9,13,36,18,0.0,0.0,0.0,0.0,0.0,0.1,0.03,0.14,0.1,0.14,2022,Boca Juniors,liga_argentina,argentina
